"medicine_name","category","rxcui","source"
"1-octadecanaminium, n,n-dimethyl-n-(3-(trihydroxysilyl)propyl)","RxNav Ingredient","1798702","RxNav"
"1-octanesulfonic acid","RxNav Ingredient","1592897","RxNav"
"1-octanol","RxNav Ingredient","1487826","RxNav"
"1-octen-3-ol","RxNav Ingredient","2395763","RxNav"
"1-octen-3-yl acetate","RxNav Ingredient","2395768","RxNav"
"1-octenylsuccinic acid","RxNav Ingredient","2368127","RxNav"
"1-p-menthene-8-thiol","RxNav Ingredient","1940004","RxNav"
"1-palmitoyl-2-linoleoyl-sn-glycero-3-phosphocholine","RxNav Ingredient","2593177","RxNav"
"1-palmitoyl-2-oleoyl-sn-glycero-3-(phospho-rac-(1-glycerol))","RxNav Ingredient","1440971","RxNav"
"1-phenylazo-2-naphthylamine","RxNav Ingredient","1430252","RxNav"
"1-phenylethanol","RxNav Ingredient","2001176","RxNav"
"1-propanaminium, 2-(acetyloxy)-3-carboxy-n,n,n-trimethyl-, inner salt, (2s)-","RxNav Ingredient","1433756","RxNav"
"1-propanol","RxNav Ingredient","1362872","RxNav"
"1-propoxy-2-propanol","RxNav Ingredient","1358844","RxNav"
"1-stearoyl-sn-glycero-3-phosphocholine","RxNav Ingredient","2707701","RxNav"
"1-tetracosanol","RxNav Ingredient","1314259","RxNav"
"1-vinyl-2-pyrrolidone","RxNav Ingredient","1307764","RxNav"
"1.alpha.,24s-dihydroxyvitamin d2","RxNav Ingredient","1536458","RxNav"
"10-(n-methylpiperidyliden-4)-1-azathioxanthene malonate","RxNav Ingredient","2464290","RxNav"
"10-hydroxydecanoate","RxNav Ingredient","1368623","RxNav"
"10-hydroxystearic acid","RxNav Ingredient","2476630","RxNav"
"10-undecenal","RxNav Ingredient","2378832","RxNav"
"12-(9-anthroyloxy)stearic acid","RxNav Ingredient","1922739","RxNav"
"12-hydroxyeicosapentaenoic acid, (12r)-","RxNav Ingredient","2261372","RxNav"
"12-hydroxystearate","RxNav Ingredient","1368629","RxNav"
"12-oxooctadecanoic acid","RxNav Ingredient","1733689","RxNav"
"16-methylheptadecanoic acid","RxNav Ingredient","1799140","RxNav"
"17-alpha-hydroxyprogesterone","RxNav Ingredient","5542","RxNav"
"17-hydroxystearic acid","RxNav Ingredient","2185790","RxNav"
"1h,5h-cyclopenta(3,4)(1)benzopyrano(6,7,8-ij)quinolizin-12(9h)-one, 2,3,6,7,10,11-hexahydro-","RxNav Ingredient","2378833","RxNav"
"2',3'-dihydroxyacetophenone","RxNav Ingredient","2268051","RxNav"
"2'-deoxyadenosine","RxNav Ingredient","2642189","RxNav"
"2'-deoxyguanosine","RxNav Ingredient","2642210","RxNav"
"2'-fucosyllactose","RxNav Ingredient","1733688","RxNav"
"2'-hydroxyacetophenone","RxNav Ingredient","1664428","RxNav"
"2,10,15,19,23-pentahydrosqualene","RxNav Ingredient","1862733","RxNav"
"2,2',2'',2'''-((4-((2-hydroxyethyl)amino)-8-(piperidin-1-yl)pyrimido(5,4-d)pyrimidine-2,6-diyl)dinitrilo)tetraethanol","RxNav Ingredient","2548676","RxNav"
"2,2',3,3',4,4',5,5',6-nonachlorodiphenyl either","RxNav Ingredient","2056924","RxNav"
"2,2'-dihydroxy-4,4'-dimethoxy-5,5'-disulfobenzophenone","RxNav Ingredient","1370643","RxNav"
"2,2'-dithiobisbenzothiazole","RxNav Ingredient","1306112","RxNav"
"2,2'-oxydipropanol","RxNav Ingredient","2373948","RxNav"
"2,2,2-trifluoroacetophenone","RxNav Ingredient","1371443","RxNav"
"2,2,4,4,6,8,8-heptamethylnonane","RxNav Ingredient","1362933","RxNav"
"2,2,5-trimethylhexane","RxNav Ingredient","2557376","RxNav"
"2,2-bis(4-glycidyloxyphenyl)propane","RxNav Ingredient","1368138","RxNav"
"2,2-bis(4-hydroxy-3-tert-butylphenyl)propane","RxNav Ingredient","2267021","RxNav"
"2,2-dichloro-1-(2-chlorophenyl)ethanol","RxNav Ingredient","1995245","RxNav"
"2,2-dinitropropyl acrylate","RxNav Ingredient","2359258","RxNav"
"2,3 di-o-methyl-d-glucose","RxNav Ingredient","2372920","RxNav"
"2,3'-iminodi-benzoic acid","RxNav Ingredient","2588486","RxNav"
"2,3,5,6-tetrafluorophenol","RxNav Ingredient","2625644","RxNav"
"2,3-dichloro-5,6-dicyanobenzoquinone","RxNav Ingredient","2288812","RxNav"
"2,3-dichlorobenzoic acid","RxNav Ingredient","2045940","RxNav"
"2,3-dihydroxyacetophenone","RxNav Ingredient","1999190","RxNav"
"2,3-dihydroxybenzoic acid","RxNav Ingredient","1727169","RxNav"
"2,3-dimercapto-1-propanesulfonic acid","RxNav Ingredient","1546352","RxNav"
"2,3-dimethylacrylic acid, (e)-","RxNav Ingredient","1860614","RxNav"
"2,3-pentanedione","RxNav Ingredient","2693283","RxNav"
